Kp,Ki,Kd,Cost
1.7157,0.5000,0.2221,1000005.6656
1.7157,0.1250,0.4343,1000005.6666
1.7157,0.1250,0.7879,1000005.6669
1.7157,0.0000,0.5050,1000005.6691
1.7157,0.0000,0.8586,1000005.6693
1.7157,0.3750,0.0807,1000005.6736
1.7157,0.1250,0.6464,1000005.6760
1.7157,0.1250,0.2929,1000005.6762
1.7157,0.0000,0.3636,1000005.6774
1.7157,0.0000,0.7171,1000005.6784
1.7157,0.1250,0.0807,1000005.6790
1.7157,0.3750,0.0100,1000005.6794
1.5736,0.5000,0.0807,1000005.6829
1.7157,0.1250,0.0100,1000005.6849
1.5736,0.5000,0.3636,1000005.6925
1.7157,0.0000,0.0100,1000005.6928
1.5736,0.3750,0.1514,1000005.6938
1.5736,0.5000,0.7171,1000005.6940
1.5736,0.3750,0.4343,1000005.6945
1.5736,0.3750,0.7879,1000005.6959
1.5736,0.5000,0.5757,1000005.7031
1.5736,0.5000,0.9293,1000005.7031
1.5736,0.1250,0.1514,1000005.7036
1.5736,0.1250,0.2221,1000005.7036
1.5736,0.2500,0.3636,1000005.7043
1.5736,0.3750,0.6464,1000005.7045
1.5736,0.3750,1.0000,1000005.7046
1.5736,0.3750,0.2929,1000005.7055
1.5736,0.2500,0.7171,1000005.7063
1.5736,0.1250,0.4343,1000005.7064
1.5736,0.3750,0.0807,1000005.7073
1.5736,0.5000,0.2221,1000005.7079
1.5736,0.1250,0.7879,1000005.7082
1.5736,0.0000,0.5050,1000005.7084
1.5736,0.0000,0.8586,1000005.7099
1.5736,0.5000,0.4343,1000005.7111
1.5736,0.5000,0.1514,1000005.7115
1.5736,0.5000,0.7879,1000005.7123
1.5736,0.3750,0.5050,1000005.7132
1.5736,0.2500,0.0807,1000005.7139
1.5736,0.3750,0.8586,1000005.7142
1.5736,0.2500,0.5757,1000005.7151
1.5736,0.1250,0.2929,1000005.7154
1.5736,0.2500,0.9293,1000005.7157
1.5736,0.0000,0.3636,1000005.7161
1.5736,0.1250,0.6464,1000005.7166
1.5736,0.1250,1.0000,1000005.7172
1.5736,0.0000,0.7171,1000005.7184
1.5736,0.5000,1.0000,1000005.7209
1.5736,0.5000,0.6464,1000005.7210
1.5736,0.3750,0.3636,1000005.7210
1.5736,0.2500,0.1514,1000005.7213
1.5736,0.2500,0.2221,1000005.7213
1.5736,0.3750,0.7171,1000005.7229
1.5736,0.2500,0.4343,1000005.7231
1.5736,0.5000,0.2929,1000005.7232
1.5736,0.2500,0.7879,1000005.7247
1.5736,0.1250,0.5050,1000005.7251
1.5736,0.1250,0.8586,1000005.7265
1.5736,0.0000,0.5757,1000005.7270
1.5736,0.0000,0.9293,1000005.7281
1.5736,0.5000,0.5050,1000005.7298
1.5736,0.5000,0.8586,1000005.7306
1.5736,0.0000,0.1514,1000005.7309
1.5736,0.0000,0.2221,1000005.7309
1.5736,0.3750,0.5757,1000005.7318
1.5736,0.3750,0.9293,1000005.7321
1.5736,0.1250,0.3636,1000005.7329
1.5736,0.2500,0.2929,1000005.7331
1.5736,0.2500,0.6464,1000005.7332
